Component,Emissions (kg CO2-eq),Percentage (%)
Battery,54.7051754,27.049177358876925
Transport,21.0922214,10.42912728767705
Set of Breaks,5.69716261,2.8169832333679374
Motor,6.61217455,3.2694142889230586
Glider,5.25322362,2.597475949290558
Handlebar,4.63982784,2.2941801253929404
Wheels,15.0252457,7.4292885970712526
Controller,89.2183668,44.114353159400274
